date, gecko, mass
2015-09-10, murphey,  22
2015-09-10, lu,       21
2015-09-18, murphey,  26
2015-09-18, lu,       30
2015-09-25, murphey,  31
2015-09-25, lu,       32
2015-10-02, murphey,  37
2015-10-02, lu,       38
2015-10-09, murphey,  41
2015-10-09, lu,       41
2015-10-16, murphey,  45
2015-10-16, lu,       45
2015-11-10, murphey,  60
2015-11-10, lu,       59
2015-12-12, murphey,  70 
2016-01-02, murphey,  75 
2016-01-15, murphey,  78
2016-01-15, lu,       67
2016-01-15, murphey,  78
2016-01-15, lu,       67
2016-02-23, murphey,  84
2016-02-23, lu,       77
2016-03-01, murphey,  82 
2016-03-24, murphey,  81 
2016-03-29, murphey,  80 
2016-04-12, murphey,  79
2016-04-12, lu,       82
2016-05-12, murphey,  85
2016-05-12, lu,       84
2016-09-25, murphey,  92
2016-09-25, lu,       95
2016-12-31, murphey, 103
2016-12-31, lu,       92
2017-04-01, murphey,  90 
2017-05-01, murphey,  86 
2017-06-26, murphey,  80 
2017-08-21, murphey,  93 
2017-11-22, murphey,  99 
2018-02-19, murphey,  97
2018-02-19, bojack,   45
2018-02-19, lu,       90
2018-05-21, murphey, 101 
2018-05-21, bojack,   43 
2018-11-10, murphey, 102 
2018-11-10, bojack,   56 
2019-01-05, murphey, 103 
2019-01-05, bojack,   58 
2019-04-15, murphey,  90 
2019-04-15, bojack,   52 
2019-05-19, murphey,  90 
2019-05-19, bojack,   53 
2019-06-09, murphey,  84
2019-06-13, bojack,   51
2019-04-04, biscuit,   3
2019-07-28, biscuit,  13
2019-09-22, biscuit,  15
2019-09-23, bojack,   54
